"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SI","2022-09-25","92.9","-1.84","5.68","Marte, Ketel",606466,596001,"single","hit_into_play",,,,,5,"Ketel Marte singles on a line drive to left fielder LaMonte Wade Jr.","R","L","R","AZ","SF","X",7,"line_drive",0,0,2022,"-1.15","0.68","-0.2","2.48",,,,2,8,"Bot",59.06,114.68,,,663698,,,6.674513992401622,-135.02609861406748,-3.817210572062981,-15.587106775710936,31.661367104449667,-23.184884182665158,"3.59","1.73",197,"91.2",11,"92.1",2303,"6",663280,596001,663698,605204,642731,446334,543063,664774,596103,573262,"54.47",0.74,0.709,"0.9",1,1,0,4,66,1,"Sinker",1,2,1,2,2,1,1,2,"Infield shift","Standard",211,"0.037","0.118"
"SI","2022-09-25","92.6","-1.72","5.76","Marte, Ketel",606466,596001,"field_out","hit_into_play",,,,,9,"Ketel Marte grounds out, second baseman Ford Proctor to first baseman J.  D. Davis.","R","L","R","AZ","SF","X",4,"ground_ball",2,1,2022,"-1.05","0.8","0.3","2.02",,,,0,6,"Bot",160.9,135.74,,,642851,,,7.402436337635691,-134.63773334474826,-5.463150401882926,-14.385205812843049,29.4049906864494,-21.396064383602543,"3.59","1.73",25,"93.6",-3,"92.2",2316,"6.1",663280,596001,642851,605204,665154,613564,543063,642731,573262,664774,"54.41",0.28,0.262,"0",1,0,0,2,44,4,"Sinker",1,0,1,0,0,1,1,0,"Infield shift","Strategic",204,"-0.021","-0.261"
"SI","2022-09-25","93","-1.84","5.81","Marte, Ketel",606466,596001,"field_out","hit_into_play",,,,,8,"Ketel Marte grounds out, pitcher Jakob Junis to first baseman J.  D. Davis.","R","L","R","AZ","SF","X",1,"ground_ball",1,0,2022,"-1.13","0.79","0.25","2.23",,,,2,3,"Bot",136.04,190.13,,,642851,,,7.798961066974489,-135.08578745751734,-5.065458923667527,-15.541694722662047,32.088601068040155,-21.51749369233728,"3.59","1.73",1,"70.8",-69,"92.1",2245,"6",663280,596001,642851,605204,665154,613564,543063,642731,573262,664774,"54.45",0.254,0.231,"0",1,0,0,2,24,2,"Sinker",0,0,0,0,0,0,0,0,"Infield shift","Standard",219,"-0.012","-0.114"
"SI","2022-09-25","93.3","1.8","5.76","Marte, Ketel",606466,518397,"field_out","hit_into_play",,,,,8,"Ketel Marte grounds out, shortstop Brandon Crawford to first baseman J.  D. Davis.","R","R","L","AZ","SF","X",6,"ground_ball",0,0,2022,"1.19","0.28","0.26","1.65",,,,0,1,"Bot",107.3,155.17,,,642851,,,-6.552501663705949,-135.67651979002193,-5.409400946603738,16.081102550813064,30.09364067357632,-27.71503236736213,"3.59","1.73",1,"93.1",-52,"93",2189,"6.2",663280,518397,642851,605204,665154,613564,543063,642731,573262,664774,"54.33",0.126,0.117,"0",1,0,0,2,6,1,"Sinker",0,0,0,0,0,0,0,0,"Infield shift","Strategic",135,"-0.021","-0.221"
"SI","2022-09-24","94.1","-2.15","5.79","Marte, Ketel",606466,502171,"field_out","hit_into_play",,,,,4,"Ketel Marte grounds out sharply, shortstop Brandon Crawford to first baseman Wilmer Flores.","R","L","R","AZ","SF","X",6,"ground_ball",2,0,2022,"-1.34","0.45","-0.47","2.96",,,656976,2,5,"Bot",135.26,147.84,,,663698,,,7.274724945439237,-136.81482484223437,-2.5647568585422436,-18.47523633146921,32.61979234891492,-26.125331868327063,"3.59","1.73",49,"105.9",-1,"93",2126,"5.9",663281,502171,663698,527038,665154,613564,543063,664774,596103,573262,"54.63",0.46,0.438,"0",1,0,0,4,42,3,"Sinker",5,1,5,1,1,5,5,1,"Infield shift","Standard",221,"-0.005","-0.295"
"FS","2022-09-24","91.2","-2.23","5.74","Marte, Ketel",606466,502171,"field_out","hit_into_play",,,,,13,"Ketel Marte lines out to center fielder Austin Slater.","R","L","R","AZ","SF","X",8,"line_drive",3,1,2022,"-1.4","0.55","-1.05","2.05",,662139,572233,0,4,"Bot",111.85,73.34,,,663698,,,5.907079592485222,-132.5035012024234,-4.458486177803258,-17.742443065118476,31.420699523772914,-24.88926098985608,"3.59","1.73",314,"85.1",26,"89.9",1762,"5.8",663281,502171,663698,527038,665154,613564,543063,664774,596103,573262,"54.66",0.137,0.147,"0",1,0,0,3,30,5,"Split-Finger",1,1,1,1,1,1,1,1,"Standard","Standard",229,"-0.059","-0.856"
"FS","2022-09-24","90.1","-2.14","5.91","Marte, Ketel",606466,502171,"field_out","hit_into_play",,,,,7,"Ketel Marte flies out to left fielder LaMonte Wade Jr.","R","L","R","AZ","SF","X",7,"fly_ball",3,2,2022,"-1.34","0.35","-0.75","2.13",,,,1,2,"Bot",76.36,100.59,,,663698,,,6.221976390052342,-130.98305617465948,-4.086516821545461,-16.79674981764412,29.43451179593636,-27.48635434346605,"3.59","1.73",274,"90.7",50,"88.8",1696,"5.7",663281,502171,663698,527038,665154,613564,543063,664774,596103,573262,"54.83",0.014,0.018,"0",1,0,0,3,12,7,"Split-Finger",0,0,0,0,0,0,0,0,"Infield shift","Standard",226,"-0.016","-0.207"
"CH","2022-09-24","80.4","-1.92","6.1","Marte, Ketel",606466,605194,"double","hit_into_play",,,,,7,"Ketel Marte doubles (42) on a sharp line drive to right fielder Jason Vosler.   Christian Walker to 3rd.","R","L","R","AZ","SF","X",9,"line_drive",0,2,2022,"-1.16","0.76","-0.42","1.67",,,572233,1,8,"Bot",213.29,90.55,,,663698,,,5.469173702633643,-116.883407872032,-4.499652892807363,-11.703024559814727,22.652376937252267,-24.550835655923184,"3.59","1.73",299,"100.7",16,"79.3",2445,"5.7",663281,605194,663698,527038,665154,446334,543063,605204,596103,613564,"54.85",0.566,0.598,"1.25",1,1,1,4,61,3,"Changeup",5,2,5,2,2,5,5,2,"Infield shift","Strategic",243,"0.01","1.022"
"FF","2022-09-23","95.2","1.9","6.41","Marte, Ketel",606466,607074,"field_out","hit_into_play",,,,,3,"Ketel Marte pops out to second baseman Wilmer Flores.","R","R","L","AZ","SF","X",4,"popup",1,2,2022,"0.88","1.54","0.68","3.48",,,672695,0,5,"Bot",147.42,157.47,,,642851,,,-5.1529187228712745,-138.46983676866486,-5.462554124744069,12.434526630320907,32.6013952151482,-11.419864512335817,"3.59","1.72",140,"84.7",67,"94.7",2423,"6.1",663282,607074,642851,605204,527038,446334,543063,670768,596103,573262,"54.35",0.003,0.003,"0",1,0,0,3,42,4,"4-Seam Fastball",2,5,2,5,5,2,2,5,"Standard","Standard",146,"-0.04","-0.249"
"FF","2022-09-23","95.4","1.92","6.47","Marte, Ketel",606466,607074,"walk","ball",,,,,12,"Ketel Marte walks.","R","R","L","AZ","SF","B",,,3,1,2022,"0.71","1.61","1.01","3.68",,,,2,3,"Bot",,,,,642851,,,-4.003850628386026,-138.74897695226693,-5.258035786670303,10.128690370453219,35.424264891901636,-10.45597728879953,"3.59","1.73",,,,"94.8",2500,"6.3",663282,607074,642851,605204,527038,446334,543063,670768,596103,573262,"54.19",,,"0.7",1,0,0,,22,5,"4-Seam Fastball",0,2,0,2,2,0,0,2,"Standard","Standard",150,"0.015","0.065"
"SL","2022-09-23","83","-2.29","4.97","Marte, Ketel",606466,571946,"double","hit_into_play",,,,,4,"Ketel Marte doubles (41) on a ground ball to right fielder LaMonte Wade Jr.","R","L","R","AZ","SF","X",9,"ground_ball",0,2,2022,"1.24","0.4","-0.38","2.31",,,,2,8,"Bot",186.95,105.28,,,663698,,,1.9731690817366412,-120.83713617402965,-0.3301659500207489,11.586945781842761,26.153025048745054,-28.422024748538874,"3.59","1.72",130,"108.1",6,"84.2",2576,"7.3",663282,571946,663698,605204,527038,446334,543063,592626,573262,664774,"53.19",0.634,0.59,"1.25",1,1,1,4,73,3,"Slider",5,5,5,5,5,5,5,5,"Infield shift","Standard",76,"0.056","0.261"
"SL","2022-09-23","84.1","-2.22","5.15","Marte, Ketel",606466,571946,"strikeout","called_strike",,,,,5,"Ketel Marte called out on strikes.","R","L","R","AZ","SF","S",2,,0,2,2022,"1.28","0.62","-0.1","2.97",,,672695,1,6,"Bot",,,,,642851,,,2.4308446818254197,-122.45540284851697,0.15599552890198065,12.377001203769346,24.96104099597279,-26.230998251874155,"3.62","1.79",,,,"85.6",2528,"7.3",663282,571946,642851,605204,527038,446334,543063,592626,596103,573262,"53.22",,,"0",1,0,0,,55,3,"Slider",5,5,5,5,5,5,5,5,"Infield shift","Standard",62,"-0.041","-0.179"
"FF","2022-09-23","92.5","1.95","6.6","Marte, Ketel",606466,607074,"field_out","hit_into_play",,,,,11,"Ketel Marte pops out to catcher Austin Wynns in foul territory.","R","R","L","AZ","SF","X",2,"popup",1,0,2022,"0.29","1.56","-0.18","4.02",,,,0,1,"Bot",123.82,206.17,,,642851,,,-6.043359162602188,-134.5552124110198,-4.107839915583447,4.92154699976822,31.571562486253278,-12.600044079995252,"3.59","1.72",8,"76.7",89,"92",2213,"6.2",663282,607074,642851,605204,527038,446334,543063,670768,596103,573262,"54.31",0.009,0.008,"0",1,0,0,3,4,2,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",147,"-0.021","-0.255"
"CU","2022-09-22","83.4","1.39","6.07","Marte, Ketel",606466,628711,"field_out","hit_into_play",,,,,5,"Ketel Marte grounds out, second baseman Gavin Lux to first baseman Freddie Freeman.","R","R","L","LAD","AZ","X",4,"ground_ball",3,2,2022,"-1.14","-0.31","0","2.47",,,672695,2,5,"Top",116.55,154.82,,,669257,,,-0.9626652609258797,-121.48942109357404,-1.2378323984328061,-11.09129507404039,24.271412098390744,-35.165730700311286,"3.59","1.71",5,"89.2",-24,"82.3",2999,"5.5",662586,628711,669257,518692,666158,571970,607208,572204,641355,608336,"54.96",0.094,0.092,"0",1,0,0,2,33,6,"Curveball",1,1,1,1,1,1,1,1,"Infield shift","Standard",258,"0.031","-0.256"
"FF","2022-09-22","92.6","1.72","5.92","Marte, Ketel",606466,628711,"walk","ball",,,,,12,"Ketel Marte walks.","R","R","L","LAD","AZ","B",,,3,2,2022,"0.13","1.26","0.62","5.07",642727,662139,,1,3,"Top",,,,,669257,,,-3.0470339549732346,-134.93839853029058,0.828948412082258,2.2899841359022046,28.566448502390116,-17.083416109163814,"3.58","1.72",,,,"91.2",2602,"5.3",662586,628711,669257,518692,666158,571970,607208,572204,641355,608336,"55.21",,,"0.7",1,0,0,,16,6,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shift","Standard",161,"-0.012","0.31"
"FC","2022-09-22","96.2","-1.7","6.02","Marte, Ketel",606466,660813,"field_out","hit_into_play",,,,,5,"Ketel Marte grounds out, first baseman Freddie Freeman to pitcher Brusdar Graterol.","R","L","R","LAD","AZ","X",3,"ground_ball",2,2,2022,"-0.1","0.64","0.16","2.8",,,,1,8,"Top",155.92,157.84,,,669257,,,5.127021257444721,-140.07248070641472,-4.448052321512304,-2.348717786695026,28.147449853672327,-22.90790302254622,"3.59","1.71",6,"88.3",-26,"96",2374,"5.9",662586,660813,669257,518692,666158,571970,607208,572204,641355,608336,"54.58",0.06,0.054,"0",1,0,0,2,51,7,"Cutter",1,1,1,1,1,1,1,1,"Infield shift","Standard",208,"0.034","-0.134"
"CH","2022-09-22","84.1","1.71","5.89","Marte, Ketel",606466,628711,"strikeout","called_strike",,,,,14,"Ketel Marte called out on strikes.","R","R","L","LAD","AZ","S",2,,1,2,2022,"1.26","0.68","0.31","1.5",,,,0,1,"Top",,,,,669257,,,-5.677581277690996,-122.43267817473193,-5.14731757024662,13.81305488739047,22.25091095786659,-24.531420559646175,"3.61","1.72",,,,"83.4",1886,"5.6",662586,628711,669257,518692,666158,571970,607208,572204,641355,608336,"54.9",,,"0",1,0,0,,1,4,"Changeup",0,0,0,0,0,0,0,0,"Infield shift","Standard",128,"0.022","-0.158"
