"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2020-09-27","86.4","1.72","5.42","Marte, Ketel",606466,607536,"walk","ball",,,,,13,"Ketel Marte walks.","R","R","L","ARI","COL","B",,,3,2,2020,"-0.05","0.23","-1.84","1.21",,,,0,3,"Bot",,,,,547172,,,-8.43805056614681,-125.62120494053484,-4.355029370119808,1.0001672864136983,23.579610603096423,-29.041240998489553,"3.64","1.74",,,,"87.3",2598,"6.8",630202,607536,547172,658069,641658,641857,596115,606132,656541,453568,"53.74",,,"0.7",1,0,0,,22,7,"Slider",2,0,2,0,0,2,2,0,"Standard","Standard",148,"0.024","0.333"
"FF","2020-09-27","93.9","-1.93","6.64","Marte, Ketel",606466,623485,"sac_fly","hit_into_play",,,,,8,"Ketel Marte out on a sacrifice fly to left fielder Raimel Tapia.   Carson Kelly scores.","R","L","R","ARI","COL","X",7,"line_drive",0,1,2020,"-1.04","1.47","-0.18","2.29",608348,641796,,0,6,"Bot",78.37,79.83,,,547172,,,6.813715393357234,-136.20199831289702,-8.656969831715834,-14.50460892698785,33.82202160447505,-12.103499219459305,"3.64","1.73",304,"100.3",15,"93",2130,"6.3",630202,623485,547172,658069,641658,641857,596115,606132,656541,453568,"54.25",0.72,0.717,"0",1,0,0,4,51,2,"4-Seam Fastball",6,0,6,0,0,7,7,0,"Strategic","Standard",210,"0","-0.283"
"FF","2020-09-27","94.1","-1.25","6.22","Marte, Ketel",606466,620445,"single","hit_into_play",,,,,6,"Ketel Marte singles on a sharp line drive to center fielder Garrett Hampson.   Wyatt Mathisen scores.    Carson Kelly scores.","R","L","R","ARI","COL","X",8,"line_drive",0,1,2020,"-0.4","1.42","0.65","2.36",621500,608348,,2,7,"Bot",154.35,60.27,,,547172,,,5.885407702914233,-136.80687707366815,-7.506008892673911,-6.379122893398217,30.8859429909313,-12.900503311563252,"3.64","1.73",285,"103.2",14,"95",2007,"6.9",630202,620445,547172,460077,641857,658069,596115,606132,641658,656541,"53.59",0.813,0.823,"0.9",1,1,0,4,64,2,"4-Seam Fastball",9,0,9,0,0,11,11,0,"Standard","Standard",211,"0.001","1.523"
"SL","2020-09-27","84.6","1.88","5.67","Marte, Ketel",606466,607536,"double","hit_into_play",,,,,8,"Ketel Marte doubles (14) on a sharp ground ball to third baseman Ryan McMahon.   Tim Locastro to 3rd.","R","R","L","ARI","COL","X",5,"ground_ball",2,0,2020,"-0.11","0.27","0.15","1.84",,,641796,0,1,"Bot",74,145,,,547172,,,-3.825014293566427,-123.20553319343446,-3.1362872443853558,-0.37113762883664053,25.077915626510745,-28.974307532876466,"3.64","1.73",15,"105.7",-7,"85",2363,"6.5",630202,607536,547172,658069,641658,641857,596115,606132,656541,453568,"53.97",0.253,0.228,"1.25",1,1,1,2,5,3,"Slider",0,0,0,0,0,0,0,0,"Standard","Standard",184,"0.103","0.914"
"CU","2020-09-27","78.5","-2.24","6.59","Marte, Ketel",606466,623485,"field_out","hit_into_play",,,,,8,"Ketel Marte pops out to second baseman Garrett Hampson.","R","L","R","ARI","COL","X",4,"popup",0,0,2020,"0.6","-0.86","0.2","2.15",662139,621500,608348,2,3,"Bot",142.13,112.9,,,547172,,,4.127914301161761,-114.22134562753835,-1.0585939783157414,4.349584903008494,24.300298571288284,-39.63656211578226,"3.64","1.73",210,"74.7",50,"77.7",2433,"6.1",630202,623485,547172,658069,641658,641857,596115,606132,656541,453568,"54.42",0.087,0.087,"0",1,0,0,3,31,1,"Curveball",6,0,6,0,0,6,6,0,"Standard","Standard",37,"-0.009","-0.736"
"KC","2020-09-26","88.9","-1.97","6.24","Marte, Ketel",606466,608566,"strikeout","swinging_strike_blocked",,,,,14,"Ketel Marte strikes out swinging.","R","L","R","ARI","COL","S",2,,0,2,2020,"0.11","-0.23","0.3","0.68",,445055,662139,2,7,"Bot",,,,,553869,,,5.255839454585528,-129.31794040622634,-7.040279949583861,0.23829687633838337,25.640072269156533,-33.513503304231996,"3.64","1.73",,,,"88",2732,"5.6",630271,608566,553869,502517,641857,658069,596115,606132,641658,607680,"54.89",,,"0",1,0,0,,61,3,"Knuckle Curve",3,7,3,7,7,3,3,7,"Strategic","Standard",7,"-0.029","-0.275"
"FF","2020-09-26","96.7","-2.02","6.34","Marte, Ketel",606466,608566,"field_out","hit_into_play",,,,,4,"Ketel Marte grounds out sharply, second baseman Ryan McMahon to first baseman Daniel Murphy.","R","L","R","ARI","COL","X",4,"ground_ball",0,0,2020,"-0.58","1.27","-0.34","2.4",,,,2,3,"Bot",140.43,114.32,,,553869,,,5.7112691092658725,-140.50766003739298,-7.697666981214039,-9.053987970104933,33.609102064170415,-13.739287015655512,"3.64","1.73",4,"100.6",-30,"94.8",2198,"5.4",630271,608566,553869,502517,641857,658069,596115,606132,641658,607680,"55.11",0.093,0.084,"0",1,0,0,2,22,1,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Strategic","Standard",212,"-0.009","-0.112"
"FF","2020-09-25","95.5","-2.84","5.81","Marte, Ketel",606466,622608,"single","hit_into_play",,,,,7,"Ketel Marte singles on a sharp ground ball to shortstop Trevor Story.","R","L","R","ARI","COL","X",6,"ground_ball",1,2,2020,"-0.62","0.94","-0.52","1.67",,,,0,5,"Bot",132.22,125.6,,,553869,,,7.5034459441118635,-138.77361979086444,-7.362053719812456,-9.722048019734608,33.061004972948915,-18.452406028350932,"3.64","1.73",6,"101.5",-15,"95.3",2116,"6.4",630270,622608,553869,658069,641658,641857,596115,606132,607680,453568,"54.11",0.193,0.197,"0.9",1,1,0,2,40,4,"4-Seam Fastball",3,0,3,0,0,3,3,0,"Standard","Standard",222,"0.008","0.468"
"SL","2020-09-25","87.3","-2.78","5.96","Marte, Ketel",606466,622608,"field_out","hit_into_play",,,,,6,"Ketel Marte pops out to first baseman Josh Fuentes in foul territory.","R","L","R","ARI","COL","X",3,"popup",1,2,2020,"0.38","0.46","0.8","2.75",,,662139,1,3,"Bot",165.82,182.03,,,553869,,,7.8159349855981235,-126.85052951737666,-2.471988622347359,2.421520624470305,27.23870036911801,-26.91250760888285,"3.64","1.73",103,"75.6",70,"87.1",2058,"6.3",630270,622608,553869,658069,641658,641857,596115,606132,607680,453568,"54.18",0,0,"0",1,0,0,3,24,4,"Slider",0,0,0,0,0,0,0,0,"Standard","Standard",136,"-0.038","-0.213"
"CH","2020-09-25","88.8","-1.85","5.77","Marte, Ketel",606466,622075,"walk","ball",,,,,13,"Ketel Marte walks.   Carson Kelly to 3rd.    Daulton Varsho to 2nd.","R","L","R","ARI","COL","B",,,3,2,2020,"-1.56","0.09","-1.12","1.26",,608348,662139,0,6,"Bot",,,,,553869,,,5.078717382920246,-129.0621851274854,-5.17309616879259,-18.50318953941447,29.08610101767843,-30.171385086248975,"3.43","1.7",,,,"89",1780,"6.6",630270,622075,553869,658069,641658,641857,596115,606132,607680,453568,"53.85",,,"0.7",1,0,0,,53,7,"Changeup",4,0,4,0,0,4,4,0,"Standard","Standard",253,"0.003","0.653"
