pitch_type,pitch_name,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,Changeup,2021-10-03,87.5,-2.26,6.06,"Marte, Ketel",606466,608032,field_out,hit_into_play,,,,,5,Ketel Marte flies out to center fielder Yonathan Daza.,R,L,R,ARI,COL,X,8,fly_ball,0,0,2021,-1.26,0.9,0.16,2.31,,,,0,9,Bot,160.03,76.63,,,624513,,,8.42869217543965,-126.99898644419000,-4.691724535229900,-15.45861103963570,27.595742423658800,-21.640234730126000,3.41,1.56,315,96.5,45,87.1,1644,6.3,632253,608032,624513,666213,641658,641857,663898,606132,602074,656541,54.16,0.011,0.01,0,1,0,0,3,75,1,4,4,4,4,4,4,4,4,Standard,Standard,229,-0.057,-0.241
SL,Slider,2021-10-02,87,-0.69,6.3,"Marte, Ketel",606466,468504,double,hit_into_play,,,,,7,Ketel Marte doubles (28) on a fly ball to right fielder Charlie Blackmon.   Geraldo Perdomo scores.    Pavin Smith scores.,R,L,R,ARI,COL,X,9,fly_ball,0,1,2021,0.5,0.37,-0.28,1.85,672695,,656976,2,3,Bot,177.87,49.17,,,624513,,,-0.06735799392244430,-126.661935519992,-5.258446863491380,5.464040748557210,24.820120615797600,-27.355681876475100,3.41,1.56,390,99,24,86.6,2495,5.9,632269,468504,624513,543068,663898,641857,596115,606132,656541,453568,54.56,0.466,0.658,1.25,1,1,1,5,31,2,6,1,6,1,1,8,8,1,Standard,Standard,140,0.038,1.535
FF,4-Seam Fastball,2021-10-02,99,-2.25,6.17,"Marte, Ketel",606466,642759,double,hit_into_play,,,,,4,Ketel Marte doubles (29) on a line drive to center fielder Sam Hilliard.   Pavin Smith to 3rd.,R,L,R,ARI,COL,X,8,line_drive,2,2,2021,-0.66,1.24,-0.48,2.74,,,656976,2,7,Bot,99.7,116.22,,,624513,,,6.369211759605680,-143.94618847256100,-6.862049537556000,-10.53726545431060,31.154576877175400,-13.536229996438100,3.41,1.56,157,97.8,6,99.5,2401,6.4,632269,642759,624513,543068,663898,641857,596115,606132,656541,453568,54.05,0.586,0.567,1.25,1,1,1,4,67,6,9,2,9,2,2,9,9,2,Strategic,Standard,211,0,0.792
CH,Changeup,2021-10-02,84.3,-2.2,6.07,"Marte, Ketel",606466,592346,field_out,hit_into_play,,,,,7,"Ketel Marte grounds out sharply, second baseman Brendan Rodgers to first baseman C.  J. Cron.",R,L,R,ARI,COL,X,4,ground_ball,2,0,2021,-1.29,0.34,-0.54,1.55,,656976,,2,5,Bot,147.59,136.03,,,624513,,,6.359218028643840,-122.49761122019300,-4.733575201549570,-14.289823636155900,25.05238693341030,-27.999171402698000,3.41,1.56,8,106.2,-11,83.3,1569,5.8,632269,592346,624513,543068,663898,641857,596115,606132,656541,453568,54.69,0.317,0.295,0,1,0,0,2,50,3,8,2,8,2,2,8,8,2,Standard,Standard,236,-0.003,-0.382
FF,4-Seam Fastball,2021-10-02,94.1,-2.86,5.98,"Marte, Ketel",606466,622608,field_out,hit_into_play,,,,,13,Ketel Marte flies out to left fielder Raimel Tapia.,R,L,R,ARI,COL,X,7,fly_ball,2,2,2021,-0.37,0.93,-1.03,2.06,,,656976,0,1,Bot,41.9,100.66,,,624513,,,5.550673948962530,-136.88968822005300,-6.501741929304650,-5.852558733273360,31.253035047758600,-19.26507792472220,3.41,1.56,318,87.6,31,93.8,2090,6.2,632269,622608,624513,543068,663898,641857,596115,606132,656541,453568,54.27,0.046,0.061,0,1,0,0,3,5,5,0,0,0,0,0,0,0,0,Standard,Standard,209,-0.033,-0.335
FF,4-Seam Fastball,2021-10-02,94.5,-3.54,5.61,"Marte, Ketel",606466,622075,field_out,hit_into_play,,,,,4,Ketel Marte grounds out to first baseman C.  J. Cron.,R,L,R,ARI,COL,X,3,ground_ball,3,1,2021,-0.92,1.08,-0.61,2.69,,668678,656976,2,1,Bot,162.69,157.41,,,624513,,,9.719737210174630,-137.25924179879300,-4.273498956678600,-13.822204937911800,32.74020916101030,-17.784052082414000,3.41,1.56,14,95,-10,94.5,2003,6.6,632269,622075,624513,543068,663898,641857,596115,606132,656541,453568,53.94,0.18,0.162,0,1,0,0,2,14,5,6,0,6,0,0,6,6,0,Standard,Standard,235,-0.008,-0.659
FF,4-Seam Fastball,2021-10-01,95.4,-2.04,5.46,"Marte, Ketel",606466,592351,home_run,hit_into_play,,,,,3,Ketel Marte homers (14) on a fly ball to right field.,R,L,R,ARI,COL,X,,fly_ball,1,1,2021,-1.29,0.99,0.31,2.92,,,,1,3,Bot,216.81,55.02,,,553869,,,9.065453354129430,-138.53193050582300,-3.1946685090436900,-18.65948908422080,33.745053518836900,-18.97877404503760,3.41,1.56,419,104.9,32,95,2377,6.4,632276,592351,553869,543068,663898,641857,596115,606132,656541,453568,54.1,0.883,1.767,2,1,0,3,6,24,3,3,0,3,0,0,4,4,0,Standard,Standard,226,0.058,1.006
SL,Slider,2021-10-01,92.4,-0.49,6.68,"Marte, Ketel",606466,641755,field_out,hit_into_play,,,,,9,Ketel Marte flies out to right fielder Charlie Blackmon.,R,L,R,ARI,COL,X,9,fly_ball,2,2,2021,0.39,0.59,0.46,1.92,,,,2,7,Bot,184.1,82.94,,,624513,,,1.568428540253380,-134.53886774506200,-7.552672373547730,4.4497458665197200,28.377607530380000,-23.63403243106360,3.41,1.56,320,88.8,38,91.6,2545,5.7,632276,641755,624513,543068,663898,641857,596115,606132,656541,453568,54.76,0.014,0.022,0,1,0,0,3,61,6,7,6,7,6,6,7,7,6,Standard,Standard,162,-0.009,-0.091
FF,4-Seam Fastball,2021-10-01,96.4,-1.99,5.42,"Marte, Ketel",606466,592351,strikeout,called_strike,,,,,9,Ketel Marte called out on strikes.,R,L,R,ARI,COL,S,2,,2,2,2021,-1.25,0.78,0.72,1.83,,,,1,1,Bot,,,,,553869,,,10.075500690440200,-139.989243357972,-5.74615137094549,-18.691566383911100,30.64611573208800,-20.721598754199200,3.47,1.56,,,,96.7,2278,6.5,632276,592351,553869,543068,663898,641857,596115,606132,656541,453568,53.98,,,0,1,0,0,,6,6,0,0,0,0,0,0,0,0,Standard,Standard,225,-0.016,-0.142
FF,4-Seam Fastball,2021-10-01,92.8,-3.56,5.61,"Marte, Ketel",606466,622075,single,hit_into_play,,,,,9,Ketel Marte singles on a ground ball to center fielder Sam Hilliard.,R,L,R,ARI,COL,X,8,ground_ball,0,0,2021,-0.91,0.99,0.35,1.56,,,,0,5,Bot,132.91,118.78,,,553869,,,12.036919157971700,-134.52186469343800,-6.725543065706980,-13.65181649213320,29.73724511258820,-18.760998722064400,3.41,1.56,16,95.3,-5,93.2,2035,6.8,632276,622075,553869,543068,663898,641857,596115,606132,656541,453568,53.74,0.274,0.25,0.9,1,1,0,2,39,1,7,0,7,0,0,7,7,0,Standard,Standard,236,0.001,0.403
SL,Slider,2021-09-30,87,-2.14,5.66,"Marte, Ketel",606466,456501,strikeout,foul_tip,,,,,5,Ketel Marte strikes out on a foul tip.,R,L,R,SF,ARI,S,2,,2,2,2021,0.17,0.91,-0.09,2.16,,656976,518516,2,3,Top,,,,,457763,,,4.518990986368050,-126.63772253589900,-4.052606414403320,0.8862045469150250,26.11783759791200,-21.77285507478280,3.41,1.56,,,,86.3,2152,5.9,632278,456501,457763,527038,456781,446334,543063,573131,596103,592178,54.64,,,0,1,0,0,,28,7,1,3,3,1,3,1,3,1,Standard,Standard,224,0.033,-0.391
FF,4-Seam Fastball,2021-09-30,93.8,-1.39,5.9,"Marte, Ketel",606466,665645,single,hit_into_play,,,,,2,Ketel Marte singles on a line drive to left fielder Darin Ruf.,R,L,R,SF,ARI,X,7,line_drive,1,0,2021,0.04,1.36,0.04,3.4,,,,0,2,Top,73.25,105.75,,,457763,,,3.665685736709520,-136.57322015409600,-3.801520030929810,-0.30982608518720800,28.200933910350200,-14.52093023909,3.41,1.56,238,82.2,21,95.1,2230,6.9,632278,665645,457763,527038,456781,446334,543063,573131,596103,592178,53.61,0.709,0.661,0.9,1,1,0,4,15,2,1,3,3,1,3,1,3,1,Infield shift,Standard,201,-0.027,0.365
FF,4-Seam Fastball,2021-09-30,94.6,-2.17,6.41,"Marte, Ketel",606466,641793,field_out,hit_into_play,,,,,1,Ketel Marte flies out to center fielder Austin Slater.,R,L,R,SF,ARI,X,8,fly_ball,3,1,2021,-0.6,1.7,-0.41,2.95,,,,0,6,Top,87.9,53.57,,,457763,,,5.954399739623960,-137.48360249047,-7.157331611616730,-8.861404787808350,29.570207759077400,-9.250152883486090,3.41,1.56,372,97.7,26,95.2,2168,6.7,632278,641793,457763,527038,456781,446334,543063,573131,596103,592178,53.85,0.429,0.65,0,1,0,0,6,51,5,4,4,4,4,4,4,4,4,Infield shift,Standard,204,0.033,-0.395
FF,4-Seam Fastball,2021-09-30,91.6,0.9,5.9,"Marte, Ketel",606466,431148,field_out,hit_into_play,,,,,3,"Ketel Marte grounds out, shortstop Brandon Crawford to first baseman Wilmer Flores.",R,R,L,SF,ARI,X,6,ground_ball,1,1,2021,1.12,1.11,0.33,3.38,,,,0,1,Top,112.19,143.78,,,457763,,,-3.8155113259010400,-133.38016001159000,-2.894457528054460,14.174430454594100,27.92500187557390,-18.446230122280100,3.41,1.56,8,96.7,-23,90.8,1972,5.7,632278,431148,457763,527038,456781,446334,543063,573131,596103,592178,54.81,0.091,0.082,0,1,0,0,2,1,3,0,0,0,0,0,0,0,0,Strategic,Strategic,139,0.022,-0.231
SL,Slider,2021-09-30,72.9,-4.16,1.27,"Marte, Ketel",606466,643511,field_out,hit_into_play,,,,,4,Ketel Marte flies out to left fielder Darin Ruf.,R,L,R,SF,ARI,X,7,fly_ball,1,1,2021,1.13,1.29,-0.66,2.29,,,,0,8,Top,67.28,135.75,,,457763,,,5.028539016242740,-105.81321424056900,7.2431239050041300,7.55906139531306,19.302468019086900,-24.11293907664050,3.41,1.56,215,79.1,53,72.1,2094,6,632278,643511,457763,527038,456781,446334,543063,573131,592178,664774,54.54,0.054,0.06,0,1,0,0,3,66,3,4,4,4,4,4,4,4,4,Standard,Standard,118,0.046,-0.231
SL,Slider,2021-09-29,83.3,2.25,4.6,"Marte, Ketel",606466,622072,strikeout,swinging_strike_blocked,,,,,13,Ketel Marte strikes out swinging.,R,R,L,SF,ARI,S,2,,0,2,2021,-0.27,-0.35,-1.86,0.88,,,,0,6,Top,,,,,457763,,,-8.953320829397060,-121.08555438519900,-1.4127637304685200,-1.0066469962581600,22.637103253625700,-35.57756713916390,3.41,1.56,,,,83.8,2054,6.6,632298,622072,457763,527038,456781,446334,543063,592178,573262,664774,53.9,,,0,1,0,0,,42,3,0,0,0,0,0,0,0,0,Standard,Standard,357,0.033,-0.152
SI,Sinker,2021-09-29,92.2,1.94,5.17,"Marte, Ketel",606466,622072,grounded_into_double_play,hit_into_play,,,,,7,"Ketel Marte grounds into a double play, shortstop Brandon Crawford to second baseman Donovan Solano to first baseman Wilmer Flores.   Geraldo Perdomo out at 2nd.    Ketel Marte out at 1st.",R,R,L,SF,ARI,X,6,ground_ball,1,2,2021,1.36,1.1,-0.52,1.87,,664983,672695,1,3,Top,104.66,147.41,,,457763,,,-9.231756765069710,-133.92488235374600,-4.920299809442490,18.363746939836900,29.63147021566780,-18.079925682442700,3.41,1.56,8,80.2,-12,92.3,2115,6.5,632298,622072,457763,527038,456781,446334,543063,592178,573262,664774,54,0.083,0.075,0,1,0,0,2,20,4,0,0,0,0,0,0,0,0,Standard,Standard,126,0.097,-0.474
CH,Changeup,2021-09-29,83.1,1.55,5.96,"Marte, Ketel",606466,606424,field_out,hit_into_play,,,,,6,Ketel Marte pops out to shortstop Brandon Crawford.,R,R,L,SF,ARI,X,6,popup,3,1,2021,1.42,0.62,0.28,2.52,,,,2,8,Top,119.03,156.84,,,457763,,,-5.692255448832850,-120.96814920629000,-2.641871055936700,15.046354900187400,23.1249357677263,-25.80913122518130,3.41,1.56,113,74.8,69,83.3,2849,6.3,632298,606424,457763,527038,456781,446334,543063,592178,621453,573262,54.15,0.003,0.003,0,1,0,0,3,59,5,1,0,0,1,0,1,0,1,Standard,Standard,39,0.025,-0.161
SL,Slider,2021-09-29,84.4,2.28,4.8,"Marte, Ketel",606466,622072,field_out,hit_into_play,,,,,5,Ketel Marte lines out to second baseman Donovan Solano.,R,R,L,SF,ARI,X,4,line_drive,0,2,2021,-0.11,-0.16,0.1,2.32,,,,0,1,Top,131.85,130.26,,,457763,,,-4.845869282798760,-122.82464497852200,0.9807615594646400,-0.008904037376109730,26.6350847727789,-34.27236233350290,3.41,1.56,177,93.1,9,83.9,1828,6.2,632298,622072,457763,527038,456781,446334,543063,592178,573262,664774,54.35,0.583,0.534,0,1,0,0,4,1,3,0,0,0,0,0,0,0,0,Standard,Standard,352,0.022,-0.152
SI,Sinker,2021-09-28,92,-1.67,4.96,"Marte, Ketel",606466,657277,field_out,hit_into_play,,,,,13,"Ketel Marte grounds out, second baseman Tommy La Stella to first baseman LaMonte Wade.",R,L,R,SF,ARI,X,4,ground_ball,1,1,2021,-1.24,-0.19,-0.94,1.56,664983,,,2,5,Top,138.45,154.74,,,457763,,,4.574226117768280,-134.01109125271500,-2.4257344092611700,-15.90337023690320,28.6822929146363,-34.13537875762530,3.41,1.56,3,95.6,-23,92.8,1821,6.7,632307,657277,457763,664774,600303,446334,543063,592178,621453,573262,53.8,0.089,0.08,0,1,0,0,2,39,3,1,1,1,1,1,1,1,1,Standard,Standard,253,0.051,-0.341
