LAST_NAME,ROSTER_FIRST_NAME,BAM_ID
Andrus,Elvis,462101
Grichuk,Randal,545341
Rendon,Anthony,543685
Lyles,Jordan,543475
Semien,Marcus,543760
Dickerson,Alex,543105
Wacha,Michael,608379
Brice,Austin,592169
Story,Trevor,596115
Murphy,Tom,608596
Rodriguez,Eduardo,593958
Borucki,Ryan,621366
Flexen,Christopher,623167
Mahle,Tyler,641816
Kittredge,Andrew,552640
Rios,Edwin,621458
Collins,Zack,641470
Young,Alex,622065
Lewis,Kyle,641786
Bowden,Ben,641386
Reynolds,Bryan,668804
Rortvedt,Ben,666163
Alvarez,Yordan,670541
LeMahieu,DJ,518934
Stanton,Giancarlo,519317
Hosmer,Eric,543333
Dahl,David,621311
Santander,Anthony,623993
Taylor,Chris,621035
Castro,Anthony,621593
Houck,Tanner,656557
France,Ty,664034
Fairbanks,Peter,664126
O'Grady,Brian,657434
Gurriel,Lourdes,666971
Kremer,Dean,665152
Clarke,Taylor,664199
Jeffers,Ryan,680777
Kirk,Alejandro,672386
Turner,Justin,457759
Gardner,Brett,458731
Gibson,Kyle,502043
Moreland,Mitchell,519048
Kelly,Merrill,518876
Diekman,Jacob,518617
Perez,Martin,527048
Johnson,Pierce,572955
Yastrzemski,Mike,573262
Adams,Matt,571431
Gonzales,Marco,594835
Devenski,Christopher,606965
Riddle,J.T.,595375
Winker,Jesse,608385
Locastro,Timothy,641796
Rogers,Tyler,643511
Tauchman,Michael,643565
Mancini,Trey,641820
Torres,Gleyber,650402
Blandino,Alex,607468
Marmolejos,Jose,592530
Iglesias,Raisel,628452
Doval,Camilo,666808
Maldonado,Martin,455117
Margevicius,Nicholas,676606
Vest,Will,676684
Vazquez,Christian,543877
Garcia,Leury,544725
Alberto,Hanser,593643
Jansen,Kenley,445276
Boxberger,Bradley,502202
Cahill,Trevor,502239
Quintana,Jose,500779
Donaldson,Josh,518626
Grandal,Yasmani,518735
Ruf,Darin,573131
Bauer,Trevor,545333
Urshela,Giovanny,570482
Cessa,Luis,570666
Richards,Garrett,572070
Bedrosian,Cam,592135
Castellanos,Nick,592206
Piscotty,Stephen,572039
Robles,Hansel,570663
Myers,Wil,571976
Wisler,Matthew,605538
Garcia,Jarlin,606424
McKinney,Billy,641856
Tapia,Raimel,606132
Odor,Rougned,596059
Montero,Rafael,606160
Mercedes,Yermin,606213
Bassitt,Chris,605135
Sulser,Cole,642121
Robertson,Daniel,621002
Fry,Paul,643316
Gilbreath,Lucas,656458
Burdi,Zack,641420
McBroom,Ryan,643436
Benintendi,Andrew,643217
Castillo,Diego,650895
Baragar,Caleb,670056
Hiura,Keston,669374
King,John,667463
Swarzak,Anthony,461872
Doolittle,Sean,448281
Valdez,Cesar,491624
Brantley,Michael,488726
Andriese,Matt,542882
Higashioka,Kyle,543309
Gausman,Kevin,592332
Mayers,Mike,594577
Cave,Jake,595909
Peralta,Wandy,593974
Bogaerts,Xander,593428
Jean,Miguel,593934
Chapman,Aroldis,547973
Torrens,Luis,620443
Wendle,Joey,621563
Adames,Willy,642715
Cease,Dylan,656302
Smith,Pavin,656976
McKinstry,Zach,656716
Diaz,Yandy,650490
Grisham,Trent,663757
Duggar,Steven,621453
Stewart,D.J.,621466
Bishop,Braden,623323
Widener,Taylor,642203
Senzel,Nick,669222
Thornton,Trent,663423
Graterol,Brusdar,660813
Taveras,Leody,665750
Cabrera,Asdrubal,452678
Cishek,Steven,518553
Colome,Alexander,517008
Glasnow,Tyler,607192
Taylor,Tyrone,621438
Buxton,Byron,621439
Senzatela,Antonio,622608
Berrios,Jose,621244
Mayza,Tim,641835
Trivino,Lou,642152
Abreu,Jose,547989
Duffey,Tyler,608648
Crawford,J.P.,641487
Heim,Jonah,641680
Cordero,Franchy,614173
Ohtani,Shohei,660271
Stephenson,Tyler,663886
Stashak,Cody,664054
Weathers,Ryan,677960
Tsutsugo,Yoshitomo,660294
Longoria,Evan,446334
Kluber,Corey,446372
Belt,Brandon,474832
Posey,Buster,457763
Martinez,JD,502110
Casali,Curtis,592200
Trout,Mike,545361
Garcia,Avisail,541645
Shaw,Travis,543768
Cole,Gerrit,543037
Valdez,Phillips,570488
Astudillo,Willians,553902
Emanuel,Kent,592288
Rodriguez,Joely,570257
Rogers,Taylor,573124
Steckenrider,Drew,608716
Walker,Christian,572233
Kiermaier,Kevin,595281
McCullers,Lance,621121
Judge,Aaron,592450
Snell,Blake,605483
Eaton,Adam,594809
Sadler,Casey,594987
De Leon,Jose,592254
Renfroe,Hunter,592669
Ramirez,Nick,598286
Vogelbach,Daniel,596129
Stephenson,Robert,596112
Kopech,Michael,656629
Frazier,Clint,640449
Tucker,Kyle,663656
