,PITCH,PITCHER,RELSPEED
0,CH,"Abreu, Albert",86.27755
1,CH,"Alcala, Jorge",87.19181
2,CH,"Allard, Kolby",83.93172333333332
3,CH,"Alvarez, Jose",80.53309
4,CH,"Andriese, Matt",86.22890041666666
5,CH,"Bassitt, Chris",86.23139888888889
6,CH,"Bedrosian, Cam",85.44867666666666
7,CH,"Benjamin, Wes",84.37813750000001
8,CH,"Berrios, Jose",86.416526
9,CH,"Borucki, Ryan",86.00602333333332
10,CH,"Bowden, Ben",82.13593
11,CH,"Boxberger, Bradley",82.137455
12,CH,"Bukauskas, J.B.",88.79349500000001
13,CH,"Burdi, Zack",89.55414333333334
14,CH,"Burnes, Corbin",91.89069111111111
15,CH,"Cabrera, Asdrubal",72.47468933333333
16,CH,"Cahill, Trevor",82.25812136363636
17,CH,"Cease, Dylan",80.28007166666667
18,CH,"Cishek, Steven",87.57405
19,CH,"Clarke, Taylor",89.343796
20,CH,"Cobb, Alexander",87.63565315789474
21,CH,"Cody, Kyle",87.43109000000001
22,CH,"Cole, Gerrit",89.08049500000001
23,CH,"Crichton, Stefan",88.73908
24,CH,"Crismatt, Nabil",81.9588309090909
25,CH,"Crochet, Garrett",91.65655
26,CH,"Cronenworth, Jake",86.92152
27,CH,"Darvish, Yu",89.65973785714286
28,CH,"De Leon, Jose",84.27659173913044
29,CH,"DeSclafani, Anthony",87.91513428571429
30,CH,"Devenski, Christopher",80.86812714285715
31,CH,"Dobnak, Randy",85.8482525
32,CH,"Dolis, Rafael",85.59085166666667
33,CH,"Dunning, Dane",84.4121032
34,CH,"Emanuel, Kent",85.0295
35,CH,"Eovaldi, Nathan",88.80154846153846
36,CH,"Estevez, Carlos",85.62395
37,CH,"Fleming, Josh",80.86180066666667
38,CH,"Flexen, Christopher",82.62225314285713
39,CH,"Foltynewicz, Mike",86.40745125000001
40,CH,"Foster, Matt",84.202838
41,CH,"Fulmer, Carson",87.2998625
42,CH,"Gallen, Zac",87.52471272727273
43,CH,"Garcia, Jarlin",85.91553499999999
44,CH,"Gausman, Kevin",84.33880928571429
45,CH,"Gibson, Kyle",84.38792
46,CH,"Giolito, Lucas",81.35712666666667
47,CH,"Givens, Mychal",83.62583000000001
48,CH,"Glasnow, Tyler",91.4899
49,CH,"Gomber, Austin",83.65384999999999
50,CH,"Gonzales, Marco",80.14144611111111
51,CH,"Graveman, Kendall",89.25923
52,CH,"Gray, Jonathan",85.43854
53,CH,"Guerra, Junior",84.9037575
54,CH,"Happ, J A",87.19817466666667
55,CH,"Hearn, Taylor",85.329178
56,CH,"Heuer, Codi",87.73639875
57,CH,"Hill, Richard",85.58436
58,CH,"Hill, Tim",86.09315000000001
59,CH,"Honeywell Jr, Brent",85.77560375
60,CH,"Iglesias, Raisel",89.55664999999999
61,CH,"Kela, Keone",87.04169999999999
62,CH,"Kelly, Merrill",86.44330846153846
63,CH,"Kennedy, Ian",86.86874999999999
64,CH,"Kikuchi, Yusei",87.93008222222223
65,CH,"King, John",78.87993
66,CH,"Kinley, Tyler",87.45626
67,CH,"Kluber, Corey",83.979985
68,CH,"Kremer, Dean",83.69514333333333
69,CH,"LeBlanc, Wade",82.74426
70,CH,"Littell, Zack",85.12639
71,CH,"Lopez, Jorge",89.669703
72,CH,"Lyles, Jordan",85.823584
73,CH,"Maeda, Kenta",84.60369133333333
74,CH,"Mahle, Tyler",86.94093714285714
75,CH,"Marshall, Evan",87.95499000000001
76,CH,"Mathisen, Wyatt",48.84795166666667
77,CH,"McClanahan, Shane",89.57667857142857
78,CH,"McCullers, Lance",85.8522409375
79,CH,"Mercedes, Yermin",76.9824324137931
80,CH,"Middleton, Keynan",84.4282
81,CH,"Milone, Tommy",76.649102
82,CH,"Montero, Rafael",89.39068333333334
83,CH,"Montgomery, Jordan",82.83227733333334
84,CH,"Morejon, Adrian",85.09165461538463
85,CH,"Moronta, Reyes",87.5829375
86,CH,"Nelson, Nick",89.23243500000001
87,CH,"Newsome, Ljay",85.9180040909091
88,CH,"Northcraft, Aaron",83.49311333333333
89,CH,"Paddack, Chris",84.49617069444444
90,CH,"Pagan, Emilio",88.21127
91,CH,"Patino, Luis",88.22015
92,CH,"Peacock, Matt",85.31582
93,CH,"Perez, Cionel",89.263755
94,CH,"Perez, Martin",85.50631140845071
95,CH,"Petit, Yusmeiro",79.756328
96,CH,"Phelps, David",86.5094025
97,CH,"Pineda, Michael",85.413378
98,CH,"Pivetta, Nick",88.55659
99,CH,"Price, David",86.27643
100,CH,"Quintana, Jose",86.6295025
101,CH,"Ramirez, Nick",79.65684869565217
102,CH,"Reed, Cody",90.75522
103,CH,"Richards, Trevor",85.31243741935484
104,CH,"Roark, Tanner",82.827166
105,CH,"Robles, Hansel",89.72702000000001
106,CH,"Rodriguez, Christopher",90.0544975
107,CH,"Rodriguez, Eduardo",87.225126875
108,CH,"Rodriguez, Joely",88.56391363636364
109,CH,"Ruiz, Jose",89.88773499999999
110,CH,"Ryu, Hyun-Jin",77.52167555555555
111,CH,"Sanchez, Aaron",87.15471692307693
112,CH,"Santana, Dennis",86.803642
113,CH,"Santana, Ervin",85.26761
114,CH,"Senzatela, Antonio",84.86567785714286
115,CH,"Sheffield, Jordan",91.11747833333334
116,CH,"Shoemaker, Matthew",85.32224181818182
117,CH,"Singer, Brady",88.02372
118,CH,"Smeltzer, Devin",79.21809576923077
119,CH,"Smith, Caleb",81.71928
120,CH,"Smith, Riley",86.680195
121,CH,"Snell, Blake",89.07893733333333
122,CH,"Springs, Jeffrey",83.27453166666668
123,CH,"Stammen, Craig",86.16843
124,CH,"Steckenrider, Drew",86.95647166666667
125,CH,"Stephenson, Robert",87.21924
126,CH,"Sulser, Cole",82.86541333333334
127,CH,"Tate, Dillon",84.14497999999999
128,CH,"Thornton, Trent",82.306555
129,CH,"Trivino, Lou",88.00278
130,CH,"Underwood Jr., Duane",86.128148
131,CH,"Valdez, Cesar",78.55283611111112
132,CH,"Valdez, Phillips",84.70672653846154
133,CH,"Vest, Will",84.497281875
134,CH,"Wacha, Michael",87.01561045454545
135,CH,"Waddell, Brandon",86.24642
136,CH,"Watson, Tony",85.730142
137,CH,"Weathers, Ryan",84.60523
138,CH,"Weaver, Luke",85.42972348837209
139,CH,"Webb, Logan",86.16777294117647
140,CH,"Wells, Tyler",88.261575
141,CH,"Whitlock, Garrett",82.27105694444444
142,CH,"Widener, Taylor",86.60569088235295
143,CH,"Yarbrough, Ryan",78.29812369230768
144,CH,"Young, Alex",86.08172666666665
145,CH,"Zimmermann, Bruce",85.06742285714286
146,CH,"Zuber, Tyler",85.88796
147,CU,"Abreu, Albert",81.55469
148,CU,"Allard, Kolby",77.02792444444444
149,CU,"Andriese, Matt",80.35205571428571
150,CU,"Antone, Tejay",80.79904466666667
151,CU,"Barnes, Matt",85.53301098039216
152,CU,"Bassitt, Chris",73.05124666666667
153,CU,"Bauer, Trevor",80.50467952380953
154,CU,"Benjamin, Wes",79.29059444444445
155,CU,"Berrios, Jose",83.70401217391304
156,CU,"Brice, Austin",81.94778500000001
157,CU,"Buehler, Walker",80.72932449999999
158,CU,"Bumgarner, Madison",78.86382375
159,CU,"Burnes, Corbin",82.08329
160,CU,"Bush, Matt",79.92136
161,CU,"Cabrera, Asdrubal",70.2834
162,CU,"Cahill, Trevor",78.18146533333334
163,CU,"Castro, Anthony",84.136365
164,CU,"Cease, Dylan",76.92771625
165,CU,"Chatwood, Tyler",81.014965
166,CU,"Cishek, Steven",73.99268000000001
167,CU,"Clarke, Taylor",79.50939
168,CU,"Cobb, Alexander",82.99856
169,CU,"Cole, Gerrit",82.61440428571429
170,CU,"Crichton, Stefan",77.84730142857143
171,CU,"Crismatt, Nabil",70.4051525
172,CU,"Darvish, Yu",76.54091279069767
173,CU,"Davis, Wade",81.78347333333333
174,CU,"De Geus, Brett",82.09295142857142
175,CU,"De Leon, Jose",78.08504181818182
176,CU,"DeSclafani, Anthony",84.28499214285715
177,CU,"Devenski, Christopher",75.0903025
