"Name","Team","IP","FA-X","FC-X","FS-X","SI-X","CH-X","SL-X","CU-X","CS-X","KN-X","SB-X","playerid"
"Marco Gonzales","SEA","183.0","6.6","1.3","","7.9","10.0","","-3.5","","","","15467"
"Shane McClanahan","TBR","166.1","6.2","","","","9.2","-1.9","-4.2","","","","21483"
"Martin Perez","TEX","196.1","5.9","0.6","","9.3","8.1","-2.0","-3.6","","","","6902"
"Cole Irvin","OAK","181.0","5.6","0.9","","8.3","7.8","-5.3","-2.7","","","","19244"
"Jordan Montgomery","- - -","178.1","4.9","-0.2","","9.5","6.2","","-1.7","","","","16511"
"Tyler Anderson","LAD","178.2","4.4","-1.4","","9.9","7.8","","-0.9","","","","12880"
"Robbie Ray","SEA","189.0","4.0","","","8.8","6.1","-0.7","-1.2","","","","11486"
"Framber Valdez","HOU","201.1","3.9","","","8.1","8.8","-2.1","-6.7","","","","17295"
"Carlos Rodon","SFG","178.0","3.5","","","","8.1","-4.5","-3.4","","","","16137"
"Kyle Freeland","COL","174.2","3.3","-0.9","","7.3","6.1","-2.5","","","","","16256"
"Julio Urias","LAD","175.0","1.9","","","","8.1","","-9.1","","","","14765"
"Jose Quintana","- - -","165.2","1.4","-1.4","","7.2","6.6","","-4.5","","","","11423"
"Max Fried","ATL","185.1","0.9","","","6.2","7.4","-2.2","-5.5","","","","13743"
"Adam Wainwright","STL","191.2","-1.0","3.4","","-7.5","-8.2","6.4","9.2","","","","2233"
"Dylan Cease","CHW","184.0","-1.8","","-4.9","","","2.2","2.0","","","","18525"
"Zac Gallen","ARI","184.0","-1.8","3.0","","-7.9","-6.6","4.0","3.9","","","","19291"
"Triston McKenzie","CLE","191.1","-1.8","","","","","2.9","4.3","","","","18000"
"Shohei Ohtani","LAA","166.0","-2.0","2.2","-3.1","-9.3","-7.9","7.8","6.3","","","","19755"
"Joe Musgrove","SDP","181.0","-2.2","1.0","","-6.9","-6.3","7.5","5.7","","","","12970"
"Pablo Lopez","MIA","180.0","-2.5","1.3","","-8.4","-9.9","","6.3","","","","17085"
"Nick Pivetta","BOS","179.2","-2.8","","-4.8","","","3.3","4.5","","","","15454"
"Miles Mikolas","STL","202.1","-2.9","","","-7.7","-6.9","2.2","4.9","3.7","","","9803"
"Alek Manoah","TOR","196.2","-3.2","","","-8.4","-8.3","8.2","","","","","26410"
"Chris Bassitt","NYM","181.2","-3.2","1.4","","-9.2","-9.3","7.4","8.6","","","","12304"
"Jameson Taillon","NYY","177.1","-3.3","1.6","","-7.9","-8.1","3.5","5.3","","","","11674"
"Jordan Lyles","BAL","179.0","-3.5","","","-7.8","-7.9","8.8","4.2","","","","7593"
"Kyle Gibson","PHI","167.2","-3.5","0.5","","-8.2","-8.4","3.0","4.1","","","","10123"
"Corbin Burnes","MIL","202.0","-3.5","2.5","","-6.7","-8.2","4.3","5.6","","","","19361"
"Logan Gilbert","SEA","185.2","-3.5","","","-7.5","-8.6","3.5","2.5","","","","22250"
"Yu Darvish","SDP","194.2","-3.9","1.5","-2.8","-7.7","-7.1","5.5","6.2","7.2","","","13074"
"Corey Kluber","TBR","164.0","-4.2","1.6","","-9.2","-7.7","9.5","","","","","2429"
"Jose Urquidy","HOU","164.1","-4.4","2.4","","","-9.0","8.3","4.2","","","","18413"
"Merrill Kelly","ARI","200.1","-4.4","-0.7","","-9.1","-9.3","1.2","5.4","","","","11156"
"Shane Bieber","CLE","200.0","-5.0","0.9","","","-7.5","1.4","5.5","","","","19427"
"German Marquez","COL","181.2","-5.2","","","-8.1","-6.1","0.2","0.5","","","","15038"
"Logan Webb","SFG","192.1","-5.3","-0.6","","-8.4","-3.9","5.9","","","","","17995"
"Justin Verlander","HOU","175.0","-5.4","","","","-8.9","2.2","3.9","","","","8700"
"Cal Quantrill","CLE","186.1","-5.5","1.4","","-7.5","-7.2","","1.9","","","","19312"
"Gerrit Cole","NYY","200.2","-6.0","0.0","","","-8.0","2.7","5.9","","","","13125"
"Kevin Gausman","TOR","174.2","-6.0","","-8.5","","-6.8","0.6","","","","","14107"
"Charlie Morton","ATL","172.0","-6.0","","","-9.8","-10.1","1.0","8.9","","","","4676"
"Jose Berrios","TOR","172.0","-6.0","","","-9.5","-8.2","9.0","","","","","14168"
"Kyle Wright","ATL","180.1","-6.5","","","-9.5","-9.0","-0.5","5.2","","","","19665"
"Sandy Alcantara","MIA","228.2","-6.7","","","-10.0","-9.5","0.2","2.1","","","","18684"
"Aaron Nola","PHI","205.0","-7.4","0.6","","-9.6","-8.6","","8.3","","","","16149"
